               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.023222,            0.015375,            0.016435,             0.74183,             0.79224,             0.82898,             0.51408,            0.012768,           0.0056481,           0.0057128,            0.008218,            0.008218,            0.008218
                  20,             0.02316,            0.016419,            0.016284,             0.73597,             0.82224,             0.85252,             0.48294,            0.014102,           0.0055055,           0.0049403,            0.008119,            0.008119,            0.008119
                  21,            0.024938,            0.016524,            0.015791,             0.71127,             0.86109,             0.83355,             0.48846,            0.015947,           0.0055993,           0.0055036,             0.00802,             0.00802,             0.00802
                  22,            0.023213,            0.015554,            0.014457,             0.74057,             0.83043,             0.85747,             0.54298,            0.013646,            0.005577,           0.0045004,            0.007921,            0.007921,            0.007921
                  23,            0.022147,            0.015621,            0.014091,             0.68209,             0.84017,             0.84858,             0.52062,            0.014208,           0.0055073,           0.0044469,            0.007822,            0.007822,            0.007822
                  24,            0.021783,            0.016265,            0.013114,              0.7602,             0.88608,             0.88699,             0.54928,            0.013901,           0.0052627,           0.0036726,            0.007723,            0.007723,            0.007723
                  25,             0.02335,            0.016001,            0.013849,             0.77247,             0.86557,             0.87097,             0.56349,            0.012761,            0.005423,           0.0038049,            0.007624,            0.007624,            0.007624
                  26,            0.020872,            0.014897,            0.012772,             0.75973,              0.8717,             0.87175,             0.55669,             0.01328,           0.0051858,           0.0037736,            0.007525,            0.007525,            0.007525
                  27,            0.022389,            0.015053,            0.013002,             0.81569,             0.91889,              0.9203,             0.60532,            0.013576,           0.0052549,           0.0030197,            0.007426,            0.007426,            0.007426
                  28,            0.022647,            0.015465,             0.01266,             0.81767,             0.90781,             0.92493,             0.58337,            0.012226,           0.0053182,           0.0028645,            0.007327,            0.007327,            0.007327
                  29,            0.022866,            0.015719,            0.012976,             0.80785,             0.91684,             0.92316,             0.61545,             0.01351,           0.0052288,           0.0030068,            0.007228,            0.007228,            0.007228
                  30,            0.021776,            0.015276,            0.013341,             0.86638,             0.89153,             0.94284,             0.59283,            0.012645,           0.0049804,           0.0032147,            0.007129,            0.007129,            0.007129
                  31,            0.020603,            0.015565,            0.012596,             0.82013,             0.91265,             0.95674,             0.66628,            0.011226,           0.0052094,           0.0027343,             0.00703,             0.00703,             0.00703
                  32,             0.02108,             0.01496,            0.011384,             0.83135,             0.89856,             0.93258,             0.61088,            0.013235,           0.0051674,           0.0027399,            0.006931,            0.006931,            0.006931
                  33,            0.021523,            0.015259,            0.012703,             0.88633,             0.91286,             0.94959,             0.64386,            0.011454,           0.0048872,           0.0021552,            0.006832,            0.006832,            0.006832
                  34,            0.020468,              0.0147,             0.01111,             0.84018,             0.95954,             0.95503,             0.64642,            0.011518,           0.0047695,           0.0022402,            0.006733,            0.006733,            0.006733
                  35,            0.020147,            0.014197,           0.0099326,             0.86031,             0.94758,             0.95381,             0.65399,             0.01209,           0.0047356,           0.0019421,            0.006634,            0.006634,            0.006634
                  36,            0.020203,            0.013719,            0.009814,             0.90348,             0.89865,             0.95112,             0.61642,            0.012132,           0.0047026,           0.0018267,            0.006535,            0.006535,            0.006535
                  37,            0.019806,             0.01466,           0.0090745,             0.87296,             0.94591,              0.9499,             0.64523,            0.011403,           0.0049346,           0.0016047,            0.006436,            0.006436,            0.006436
                  38,            0.020872,            0.014918,            0.010328,             0.87145,             0.95137,             0.96671,             0.65083,            0.012305,           0.0049211,           0.0016427,            0.006337,            0.006337,            0.006337
                  39,            0.021059,             0.01445,           0.0099729,             0.92791,             0.90391,             0.96172,             0.65235,            0.011366,           0.0048518,           0.0017432,            0.006238,            0.006238,            0.006238
                  40,            0.019663,            0.014253,             0.00996,              0.9121,             0.93368,             0.96449,             0.66263,            0.011871,           0.0047317,           0.0015916,            0.006139,            0.006139,            0.006139
                  41,            0.019291,            0.013804,            0.010008,             0.89621,             0.93236,             0.96404,              0.6814,            0.010803,           0.0047906,           0.0015328,             0.00604,             0.00604,             0.00604
                  42,            0.020899,            0.014948,           0.0098034,             0.93141,             0.92998,             0.97478,             0.66465,            0.012718,           0.0046731,           0.0014154,            0.005941,            0.005941,            0.005941
                  43,            0.018889,            0.013505,           0.0086005,             0.93152,             0.95442,             0.97149,             0.69681,            0.010684,           0.0046366,          0.00096543,            0.005842,            0.005842,            0.005842
                  44,            0.018959,            0.014385,           0.0090212,             0.90795,             0.94048,             0.96087,             0.66337,            0.010841,           0.0045506,          0.00099471,            0.005743,            0.005743,            0.005743
                  45,            0.019169,            0.014198,           0.0076959,             0.91807,             0.95243,             0.96803,             0.68486,            0.011202,           0.0045492,           0.0010815,            0.005644,            0.005644,            0.005644
                  46,            0.018892,            0.013928,           0.0074591,             0.94192,             0.95508,             0.96978,             0.69038,            0.010463,           0.0044402,           0.0010901,            0.005545,            0.005545,            0.005545
                  47,            0.018259,            0.014169,           0.0080292,             0.90379,             0.97202,             0.97662,             0.70936,             0.01032,           0.0045327,           0.0012154,            0.005446,            0.005446,            0.005446
                  48,            0.019502,            0.013834,           0.0091754,             0.94047,             0.96409,             0.98168,             0.70315,             0.01058,           0.0044231,          0.00095516,            0.005347,            0.005347,            0.005347
                  49,            0.018614,            0.014027,           0.0089509,             0.92533,             0.96741,             0.97833,             0.71893,           0.0096778,           0.0043198,          0.00091044,            0.005248,            0.005248,            0.005248
                  50,            0.017928,            0.013719,           0.0080341,             0.91787,             0.95662,             0.96772,             0.68579,            0.011575,           0.0044052,          0.00074509,            0.005149,            0.005149,            0.005149
                  51,            0.019088,            0.013716,           0.0071646,             0.94358,             0.96344,             0.96945,             0.71628,           0.0099669,           0.0042046,          0.00069671,             0.00505,             0.00505,             0.00505
                  52,            0.018169,             0.01344,           0.0077927,             0.91737,             0.96088,             0.96907,             0.70782,            0.010312,           0.0042573,          0.00086065,            0.004951,            0.004951,            0.004951
                  53,             0.01819,            0.013342,           0.0073451,             0.92549,             0.96074,             0.97498,             0.72048,           0.0099635,            0.004215,            0.001088,            0.004852,            0.004852,            0.004852
                  54,            0.018393,            0.013536,           0.0078603,             0.94176,             0.97214,             0.98345,             0.71868,           0.0099036,           0.0041047,          0.00081658,            0.004753,            0.004753,            0.004753
                  55,            0.018791,            0.013545,           0.0072711,             0.93014,             0.97306,             0.98573,             0.73321,           0.0095537,           0.0041941,          0.00085024,            0.004654,            0.004654,            0.004654
                  56,               0.017,             0.01332,           0.0068434,             0.94486,             0.94504,              0.9818,             0.74322,           0.0093147,           0.0041474,          0.00098258,            0.004555,            0.004555,            0.004555
                  57,            0.017556,            0.013506,           0.0076463,             0.95363,             0.96654,             0.98085,             0.70983,           0.0099387,           0.0041562,          0.00071515,            0.004456,            0.004456,            0.004456
                  58,            0.016217,            0.013155,           0.0060447,             0.93905,             0.94472,             0.97613,             0.71851,             0.00941,           0.0041289,          0.00079415,            0.004357,            0.004357,            0.004357
                  59,            0.017189,            0.013422,           0.0068837,             0.93323,             0.97901,             0.97862,             0.72632,           0.0093844,           0.0041073,          0.00067215,            0.004258,            0.004258,            0.004258
                  60,            0.016857,            0.013077,           0.0067258,             0.93497,             0.97915,                0.98,             0.74712,           0.0091941,           0.0040346,          0.00049045,            0.004159,            0.004159,            0.004159
                  61,            0.017444,            0.013846,             0.00693,             0.95244,             0.96889,             0.98706,              0.7517,           0.0092985,           0.0040517,          0.00051472,             0.00406,             0.00406,             0.00406
                  62,            0.016344,            0.013103,           0.0067843,             0.93134,             0.97522,             0.98265,             0.75825,           0.0088655,           0.0040021,          0.00077262,            0.003961,            0.003961,            0.003961
                  63,            0.016688,            0.012853,           0.0068881,             0.96732,             0.96816,             0.98572,             0.75316,           0.0094696,           0.0039364,          0.00055716,            0.003862,            0.003862,            0.003862
                  64,            0.017326,            0.013313,           0.0062741,             0.97341,             0.93873,             0.98629,             0.76132,           0.0086363,           0.0038858,          0.00050783,            0.003763,            0.003763,            0.003763
                  65,            0.016855,            0.013119,           0.0064336,             0.94217,             0.96744,               0.987,             0.75011,           0.0085026,           0.0040081,          0.00065922,            0.003664,            0.003664,            0.003664
                  66,            0.016903,            0.012893,           0.0062481,             0.96022,             0.97435,             0.99029,              0.7443,           0.0089152,           0.0038455,          0.00048132,            0.003565,            0.003565,            0.003565
                  67,             0.01638,            0.013169,             0.00572,             0.95283,             0.99041,             0.99145,             0.76423,           0.0082118,           0.0037383,           0.0004523,            0.003466,            0.003466,            0.003466
                  68,            0.015967,            0.012523,           0.0051319,             0.95484,             0.97914,             0.98913,             0.75497,           0.0086373,           0.0037897,          0.00044473,            0.003367,            0.003367,            0.003367
                  69,            0.016081,            0.012592,           0.0049785,             0.93988,             0.99707,             0.98868,             0.76699,           0.0084478,           0.0037105,          0.00047482,            0.003268,            0.003268,            0.003268
                  70,            0.015782,             0.01301,           0.0053158,             0.95666,             0.97482,             0.98643,             0.76503,           0.0084682,           0.0037133,           0.0004238,            0.003169,            0.003169,            0.003169
                  71,             0.01598,            0.012466,           0.0046706,             0.94822,             0.96742,             0.98667,              0.7681,           0.0086907,            0.003694,          0.00039993,             0.00307,             0.00307,             0.00307
                  72,            0.015376,            0.012069,           0.0044697,              0.9239,             0.98694,             0.98722,             0.77056,           0.0086557,           0.0037142,          0.00041235,            0.002971,            0.002971,            0.002971
                  73,            0.014578,            0.012372,           0.0043889,             0.95423,              0.9887,              0.9912,             0.77473,           0.0084114,           0.0036428,          0.00038651,            0.002872,            0.002872,            0.002872
                  74,            0.016035,            0.013007,            0.005499,             0.94951,             0.99434,             0.99076,             0.77942,           0.0081362,           0.0036167,            0.000358,            0.002773,            0.002773,            0.002773
                  75,            0.014618,            0.011761,           0.0056075,             0.95024,             0.98457,             0.99111,             0.77664,            0.008048,           0.0036115,          0.00031191,            0.002674,            0.002674,            0.002674
                  76,            0.015697,            0.012111,           0.0057058,             0.96459,             0.97555,             0.99121,             0.78556,           0.0077406,           0.0036255,          0.00037046,            0.002575,            0.002575,            0.002575
                  77,            0.015064,            0.012202,           0.0058701,              0.9527,             0.98834,             0.98972,              0.7928,           0.0076014,           0.0035994,          0.00046003,            0.002476,            0.002476,            0.002476
                  78,            0.015003,            0.012468,           0.0056048,              0.9781,             0.97385,             0.98906,             0.78729,           0.0078101,           0.0035555,          0.00046348,            0.002377,            0.002377,            0.002377
                  79,            0.015204,            0.012447,           0.0053936,             0.97446,             0.96616,             0.99118,             0.80003,           0.0075069,           0.0035499,          0.00042517,            0.002278,            0.002278,            0.002278
                  80,            0.014905,            0.012096,           0.0046319,             0.95957,             0.98162,             0.99267,             0.79255,           0.0077354,           0.0036225,          0.00035055,            0.002179,            0.002179,            0.002179
                  81,            0.014491,            0.011854,           0.0045015,             0.95858,             0.97903,             0.99068,             0.79918,            0.007494,           0.0035734,          0.00031579,             0.00208,             0.00208,             0.00208
                  82,            0.015441,            0.012432,           0.0058474,             0.97004,             0.96606,             0.99065,              0.7893,            0.007624,            0.003507,          0.00031448,            0.001981,            0.001981,            0.001981
                  83,            0.014246,             0.01134,           0.0057585,             0.97224,             0.96694,             0.99113,             0.81157,            0.007213,           0.0034172,          0.00040665,            0.001882,            0.001882,            0.001882
                  84,            0.014476,            0.012657,            0.004738,             0.97117,             0.96999,             0.98947,             0.81488,            0.007334,           0.0034285,          0.00048282,            0.001783,            0.001783,            0.001783
                  85,            0.014539,            0.011735,             0.00478,              0.9548,             0.99217,              0.9898,             0.81578,           0.0072351,           0.0034201,          0.00042331,            0.001684,            0.001684,            0.001684
                  86,            0.013809,            0.011678,           0.0039058,             0.97393,             0.97748,               0.991,             0.80909,           0.0072025,           0.0034057,          0.00032812,            0.001585,            0.001585,            0.001585
                  87,             0.01374,            0.011852,            0.003985,             0.97725,             0.98542,             0.99081,             0.80474,           0.0073335,           0.0033507,          0.00026672,            0.001486,            0.001486,            0.001486
                  88,            0.014266,            0.011626,           0.0037919,             0.98297,             0.97852,             0.99082,             0.81621,           0.0070268,            0.003302,          0.00027748,            0.001387,            0.001387,            0.001387
                  89,            0.013675,            0.011584,           0.0046501,             0.98273,             0.98256,             0.99066,             0.81818,            0.006902,           0.0032725,          0.00024733,            0.001288,            0.001288,            0.001288
                  90,            0.014295,            0.012016,            0.003695,             0.98022,             0.98957,             0.99169,             0.82563,           0.0070159,           0.0032447,          0.00023259,            0.001189,            0.001189,            0.001189
                  91,            0.014656,            0.011816,           0.0042699,             0.99281,             0.97364,             0.99288,             0.82212,           0.0070365,           0.0032305,          0.00023148,             0.00109,             0.00109,             0.00109
                  92,            0.014142,            0.011347,             0.00411,             0.99414,             0.97795,             0.99339,             0.82638,           0.0070381,            0.003202,          0.00022066,            0.000991,            0.000991,            0.000991
                  93,            0.014077,            0.011687,           0.0033842,             0.98805,             0.98683,             0.99379,             0.82022,           0.0068743,            0.003179,          0.00020391,            0.000892,            0.000892,            0.000892
                  94,            0.012824,            0.010967,           0.0031421,             0.98535,             0.98656,             0.99343,             0.82617,            0.006869,           0.0031564,          0.00018508,            0.000793,            0.000793,            0.000793
                  95,            0.014099,            0.011693,           0.0042558,             0.98862,             0.97724,             0.99335,             0.83203,           0.0067672,           0.0031649,          0.00016549,            0.000694,            0.000694,            0.000694
                  96,            0.013201,            0.011247,           0.0032331,             0.98837,             0.97657,             0.99223,             0.82613,           0.0068151,           0.0031417,          0.00018797,            0.000595,            0.000595,            0.000595
                  97,            0.012173,            0.011479,           0.0036037,             0.96938,             0.99113,             0.99236,             0.82615,           0.0066951,           0.0031358,          0.00021608,            0.000496,            0.000496,            0.000496
                  98,            0.013154,            0.010596,           0.0032848,             0.97228,             0.99268,              0.9917,             0.82762,           0.0067632,           0.0031317,          0.00020089,            0.000397,            0.000397,            0.000397
                  99,            0.013522,             0.01114,           0.0030726,             0.97615,             0.99154,             0.99158,             0.82718,           0.0066158,           0.0031139,          0.00019722,            0.000298,            0.000298,            0.000298
